Nombre_Empresa,Id_Empleo,Ciudad,Categoria,Sueldo,Publicado,Vencimiento,Descripcion,Nombre_cargo,Enlace
Afilia RH Consultores,697589,"Santa Cruz de la Sierra, Bolivia",Logística y Almacén ,No Declarado ,31 Diciembre 2018,30 Enero 2019,analista de logisticabase santa cruz objetivoejecutar las tareas administrativas operativas de la regional perfil formacion profesional en carreras administrativas dos  anos en cargos dentro de empresas distribuidoras o similares experiencia en logistica distribucion almacen inventarios manejo de microsoft sobre todo excel avanzado disponibilidad de tiempo inmediata dedicacion exclusiva  invitamos a los interesados que cumplan con el perfil a enviar su hoja de vida con fotografia y pretension salarial indicando el cargo y la ciudad de postulacion por trabajopolisbo,Analista de Logística - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/697589/Analista-de-Logística---Santa-Cruz.html?searchId=1546400657&page=1
DIS-PLAS,697506,"Santa Cruz de la Sierra, Bolivia",Marketing y Ventas ,No Declarado ,31 Diciembre 2018,30 Enero 2019,empresa de ventas de producto masivo requiere incorporar a su equipo de trabajo una persona para el puesto de atencion al clientes y ventas conocimientos ventas y atencion al cliente tecnicas de venta  seguimiento de inventario semanal mensual realizar notas de materiales uso interno emitir facturas manualesdigitales rendimiento de facturas manualesdigitales orden correlativo realizar el cierre de ventas  recepcion de notas verificacion de productos existenciaestado actual enviar informes semanales gerencia  jefatura de ventas realizar el control de calidad de los productos excel y word nivel avanzado habilidades personales de trato al cliente y buena presentacion personal trabajo en equipo trabajo bajo presion experiencia de 1 a 3 anos experiencia en ventas ofrecemos posibilidad de crecimiento beneficios de ley buen ambiente laboral las personas interesadas por favor enviar curriculum vitae con fotografia actualizada y carta de presentacion senalando pretension salarial por trabajopolisbo,Atención al Clientes y Ventas,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/697506/Atención-al-Clientes-y-Ventas.html?searchId=1546400657&page=1
Universidad Privada Franz Tamayo,698406,"Santa Cruz de la Sierra, Bolivia","Atención al Cliente,Contabilidad y Economía ",No Declarado ,31 Diciembre 2018,30 Enero 2019,estamos en la busqueda de un  asistente de postgradosede santa cruz requisitos egresado de administracion de empresas ing comercial o ramas a fines experiencia minima de 1 ano en cargos relacionados conocimiento de world y excel a nivel avanzado dominio de tecnicas de archivo y correspondencia se valorara conocimientos y experiencia en instituciones de educacion superior las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Asistente de Postgrado - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698406/Asistente-de-Postgrado---Santa-Cruz.html?searchId=1546400657&page=1
Universidad Privada Franz Tamayo,698404,"El Alto, Bolivia","Atención al Cliente,Contabilidad y Economía ",No Declarado ,31 Diciembre 2018,30 Enero 2019,estamos en la busqueda de un asistente de postgradosede el alto requisitos egresado de administracion de empresas ing comercial o ramas a fines experiencia minima de 1 ano en cargos relacionados conocimiento de world y excel a nivel avanzado dominio de tecnicas de archivo y correspondencia se valorara conocimientos y experiencia en instituciones de educacion superior las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Asistente de Postgrado - El Alto,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698404/Asistente-de-Postgrado---El-Alto.html?searchId=1546400657&page=1
Universidad Privada Franz Tamayo,698405,"La Paz, Bolivia","Atención al Cliente,Contabilidad y Economía ",No Declarado ,31 Diciembre 2018,30 Enero 2019,estamos en la busqueda de un asistente de postgradosede la paz requisitos egresado de administracion de empresas ing comercial o ramas a fines experiencia minima de 1 ano en cargos relacionados conocimiento de world y excel a nivel avanzado dominio de tecnicas de archivo y correspondencia se valorara conocimientos y experiencia en instituciones de educacion superior las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Asistente de Postgrado - La Paz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698405/Asistente-de-Postgrado---La-Paz.html?searchId=1546400657&page=1
Universidad Privada Franz Tamayo,698398,"Cochabamba, Bolivia","Atención al Cliente,Contabilidad y Economía ",No Declarado ,31 Diciembre 2018,30 Enero 2019,estamos en la busqueda de un asistente de postgradosede cochabamba requisitos egresado de administracion de empresas ing comercial o ramas a fines experiencia minima de 1 ano en cargos relacionados conocimiento de world y excel a nivel avanzado dominio de tecnicas de archivo y correspondencia se valorara conocimientos y experiencia en instituciones de educacion superior las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Asistente de Postgrado - Cochabamba,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698398/Asistente-de-Postgrado---Cochabamba.html?searchId=1546400657&page=1
Empresa de Retail,698385,"Santa Cruz de la Sierra, Bolivia","Administración y Oficina,Ingeniería ",No Declarado ,31 Diciembre 2018,30 Enero 2019,buscamos un profesional para ocupar el siguiente cargoanalista de procesos omobjetivo del cargolevantamiento analisis y documentacion de procesos operativos con fines de optimizacionrequisitos profesional con formacion en ing informatica industrial administracion de empresas se valorara experiencia en el sector comercial e industrial conocimientos en analisis implantacion control seguimiento de procesos y procedimientos  capacidad de analisis para identificar oportunidades de optimizacion de los procesos actuales experiencia en implantacion ejecucion control seguimiento de gestion de procesoslas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Analista de Procesos O&M,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698385/Analista-de-Procesos-O&M.html?searchId=1546400657&page=1
AMASZONAS S.A.,698383,"Santa Cruz de la Sierra, Bolivia","Banca y Finanzas,Turismo y Hotelería ",No Declarado ,31 Diciembre 2018,30 Enero 2019,analista de presupuesto y control de gestionsede santa cruz cuales son los desafios del puesto desarrollar estrategias que aseguren las mejores practicas en los procesos de control de gestion garantizar el perfecto funcionamiento de toda la cadena del proceso presupuestario y su ejecucion apoyar al crecimiento de la compania garantizando el cumplimiento de las metas de forma economicamente eficiente preveniendo dificultades potenciales y analizando indicadores que faciliten la toma de decisiones estrategicas cual sera el alcance y las funciones el impacto del trabajo en este puesto sera a nivel nacional e internacional generando herramientas e informacion para la toma de decisiones en todo el grupo amaszonas estructurar los presupuestos del grupo amaszonas en coordinacion con todas las gerencias participar en el control de la ejecucion presupuestaria mensual evaluando el cumplimiento y analizando las desviaciones buscar de forma permanente y eficiente la optimizacion en la gestion de costos generar reportes especificos de control de gestion a todas las areas del grupo amaszonas requisitos a cumplir formacion en ingenieria financiera o ingenieria industrial se valorara la excelencia academica se valoraran postgrados en areas financieras dominio de office nivel avanzado de ingles actitud para aprender y trabajar en equipo no se requiere experiencia laboral que te ofrecemos desarrollo profesional en una linea aerea de nivel internacional capacitacion especifica en el area beneficios propios de una linea aerea las personas interesadas deberan enviar su hoja de vida y una carta de motivacion indicando su pretension salarial mediante wwwtrabajopolisbo,Analista de Presupuesto y Control de Gestión - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698383/Analista-de-Presupuesto-y-Control-de-Gestión---Santa-Cruz.html?searchId=1546400657&page=1
INSTITUCION DE INTERMEDIACION FINANCIERA,698382,"Tarija, Bolivia",Banca y Finanzas ,No Declarado ,31 Diciembre 2018,30 Enero 2019,jefe de agenciasede tarija formacion academica licenciado o egresado en economia finanzas administracion de empresas agronomia ing comercial o ramas afines postgrado en finanzas economia microfinanzas  cursos de especializacion en analisis financiero evaluacion y preparacion de proyectos   experiencia laboral experiencia minima de 3 anos en colocacion y administracion de cartera de credito en el sector productivo tanto urbano como rural en instituciones financieras experiencia de 1 ano en cargos de similar responsabilidad  experiencia en el mercadeo de productos financieros  conocimientos minimos exigidos ley no 393 de 21 de agosto de 2013 de servicios financieros normativa y procedimientos vigentes de la asfi solidos conocimientos en la elaboracion de propuestas de credito microsoft office a nivel intermedio o avanzado  competencias manejo de problemas y conflictos manejo de equipos orientacion al logro de metas y resultados responsabilidad y compromiso capacidad de analisis critico administracion efectiva del tiempo adaptabilidad al cambio  las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Jefe de Agencia - Tarija,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698382/Jefe-de-Agencia---Tarija.html?searchId=1546400657&page=1
GEDESA LTDA.,698231,"La Paz, Bolivia","Atención al Cliente,Medicina y Salud ",No Declarado ,31 Diciembre 2018,29 Enero 2019,empresa del rubro comercial de equipos e insumos medicos y ontologicos requiere incorporar a su equipoejecutiva de ventassede la pazque cumpla los siguientes requisitos titulado en ingenieria comercial administracion de empresas ingenieria comercial o marketing experiencia laboral minima de 2 anos en ventas preferentemente en el rubro medico odontologico consumo masivo capacidad de desarrollar nuevos proyectos y estrategias comerciales contar con garantias realescompetencias personales planificacion y organizacion buenas habilidades de relacionamiento y facilidad de trabajo capacidad de negociacion persuasion y empatia actitud proactiva y enfocada a resultados manejo de herramientas ms officeofrecemos estabilidad laboral beneficios sociales remuneracion acorde al cargo mas comisiones oportunidad de crecimiento dentro de la empresalas personas que cuentan con los requisitos correspondientes a este puesto deberan enviar su hoja de vida con una carta de presentacion indicando su pretension salarial por trabajopolisbo,Ejecutiva(o) de Ventas - La Paz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/698231/Ejecutiva(o)-de-Ventas---La-Paz.html?searchId=1546400657&page=1
